epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,4903.58,1.70896,1.29302,1.26966,0.46492,0.27235,0.27962,0.10739,2.38093,1.67216,1.02148,0.001783,0.001783,0.001783
85,4962.09,1.70955,1.29295,1.2698,0.44618,0.27342,0.27786,0.10657,2.39705,1.66396,1.02251,0.001684,0.001684,0.001684
86,5020.97,1.7003,1.28031,1.26032,0.43302,0.27793,0.27049,0.10714,2.37918,1.67361,1.01612,0.001585,0.001585,0.001585
87,5079.91,1.71236,1.28489,1.26267,0.43542,0.27095,0.2642,0.10374,2.38007,1.66516,1.01819,0.001486,0.001486,0.001486
88,5138.91,1.69208,1.2725,1.25845,0.45396,0.27235,0.27088,0.10688,2.38309,1.6504,1.01963,0.001387,0.001387,0.001387
89,5197.7,1.70198,1.27832,1.25802,0.45039,0.26536,0.26636,0.10462,2.40052,1.64596,1.02085,0.001288,0.001288,0.001288
90,5256.69,1.67072,1.25396,1.25473,0.45329,0.27235,0.26714,0.1032,2.39254,1.64923,1.02079,0.001189,0.001189,0.001189
91,5317.12,1.69871,1.23287,1.27309,0.42776,0.27235,0.26139,0.10235,2.39773,1.6693,1.01881,0.00109,0.00109,0.00109
92,5375.94,1.66353,1.20263,1.2626,0.4581,0.25838,0.26311,0.10262,2.39588,1.6651,1.02333,0.000991,0.000991,0.000991
93,5434.88,1.66211,1.18769,1.2664,0.43751,0.26955,0.26577,0.10322,2.40063,1.65945,1.02415,0.000892,0.000892,0.000892
94,5493.16,1.65728,1.17995,1.26144,0.45101,0.26816,0.26394,0.10231,2.3995,1.65882,1.02301,0.000793,0.000793,0.000793
95,5551.87,1.65687,1.16522,1.25133,0.46794,0.26676,0.26389,0.10202,2.40559,1.67045,1.0218,0.000694,0.000694,0.000694
96,5610.31,1.64899,1.16735,1.24716,0.46792,0.26676,0.26597,0.10349,2.40662,1.66267,1.02153,0.000595,0.000595,0.000595
97,5668.99,1.6407,1.15187,1.24957,0.45031,0.27933,0.26995,0.10447,2.42115,1.65266,1.02131,0.000496,0.000496,0.000496
98,5727.79,1.63729,1.14835,1.23953,0.4494,0.27654,0.2658,0.10249,2.42014,1.65109,1.02294,0.000397,0.000397,0.000397
99,5786.35,1.62962,1.13038,1.23969,0.46015,0.27514,0.26591,0.10329,2.41889,1.65112,1.02259,0.000298,0.000298,0.000298
100,5844.77,1.62011,1.1289,1.2427,0.47714,0.27402,0.27166,0.10415,2.41645,1.64534,1.02215,0.000199,0.000199,0.000199
